UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903006,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903006,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903057,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903086,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903086,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903086,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903086,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903226,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903233,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903240,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903248,SPOOKY_SHARD,1528.0,2055.0,22982,331946,20773,34487,67.38,527.0,34.5,14.44
1638903855,SPOOKY_SHARD,1528.0,2055.0,22968,331945,20787,34488,67.37,527.0,34.5,14.45
1638904100,SPOOKY_SHARD,1528.0,2055.0,22968,331945,20787,34488,67.37,527.0,34.5,14.45
1638904100,SPOOKY_SHARD,1528.0,2055.0,22968,331945,20787,34488,67.37,527.0,34.5,14.45
1638904100,SPOOKY_SHARD,1528.0,2055.0,22968,331945,20787,34488,67.37,527.0,34.5,14.45
1638904189,SPOOKY_SHARD,1528.0,2055.0,22968,331945,20787,34488,67.37,527.0,34.5,14.45
1638904196,SPOOKY_SHARD,1528.0,2055.0,22968,331945,20787,34488,67.37,527.0,34.5,14.45
1638905497,SPOOKY_SHARD,1528.0,2055.0,22964,331945,20791,34488,67.37,527.0,34.5,14.46
1638905504,SPOOKY_SHARD,1528.0,2055.0,22964,331945,20791,34488,67.37,527.0,34.5,14.46
