UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_ANCIENT_CLAW,4650.7,5554.2,9414,163645,50208,87202,13.14,903.5,19.4,17.38
1638903006,ENCHANTED_ANCIENT_CLAW,4650.7,5554.2,9414,163645,50208,87202,13.14,903.5,19.4,17.38
1638903006,ENCHANTED_ANCIENT_CLAW,4650.7,5554.2,9414,163645,50208,87202,13.14,903.5,19.4,17.38
1638903057,ENCHANTED_ANCIENT_CLAW,4650.7,5554.2,9414,163645,50208,87202,13.14,903.5,19.4,17.38
1638903086,ENCHANTED_ANCIENT_CLAW,4650.7,5554.2,9414,163645,50208,87202,13.14,903.5,19.4,17.38
1638903086,ENCHANTED_ANCIENT_CLAW,4650.7,5554.2,9414,163645,50208,87202,13.14,903.5,19.4,17.38
1638903086,ENCHANTED_ANCIENT_CLAW,4650.7,5554.2,9414,163645,50208,87202,13.14,903.5,19.4,17.38
1638903086,ENCHANTED_ANCIENT_CLAW,4650.7,5554.2,9414,163645,50208,87202,13.14,903.5,19.4,17.38
1638903226,ENCHANTED_ANCIENT_CLAW,4650.8,5554.2,9414,163655,50208,87202,13.14,903.4,19.4,17.38
1638903233,ENCHANTED_ANCIENT_CLAW,4650.8,5554.2,9414,163655,50208,87202,13.14,903.4,19.4,17.38
1638903240,ENCHANTED_ANCIENT_CLAW,4650.8,5554.2,9414,163655,50208,87202,13.14,903.4,19.4,17.38
1638903248,ENCHANTED_ANCIENT_CLAW,4650.8,5554.2,9414,163655,50208,87202,13.14,903.4,19.4,17.38
1638903855,ENCHANTED_ANCIENT_CLAW,4650.7,5554.4,9395,163645,50228,87203,13.14,903.7,19.4,17.42
1638904100,ENCHANTED_ANCIENT_CLAW,4650.7,5554.4,9395,163645,50228,87203,13.14,903.7,19.4,17.42
1638904100,ENCHANTED_ANCIENT_CLAW,4650.7,5554.4,9395,163645,50228,87203,13.14,903.7,19.4,17.42
1638904100,ENCHANTED_ANCIENT_CLAW,4650.7,5554.4,9395,163645,50228,87203,13.14,903.7,19.4,17.42
1638904189,ENCHANTED_ANCIENT_CLAW,4650.7,5554.4,9395,163645,50228,87203,13.14,903.7,19.4,17.42
1638904196,ENCHANTED_ANCIENT_CLAW,4650.7,5554.4,9395,163645,50228,87203,13.14,903.7,19.4,17.42
1638905497,ENCHANTED_ANCIENT_CLAW,4650.7,5554.4,9437,163598,50086,87136,13.14,903.7,19.4,17.34
1638905504,ENCHANTED_ANCIENT_CLAW,4650.7,5554.4,9437,163598,50086,87136,13.14,903.7,19.4,17.34
1638906506,ENCHANTED_ANCIENT_CLAW,4650.7,5554.3,9408,163592,50088,87142,13.14,903.6,19.4,17.39
