UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,PROTECTOR_FRAGMENT,2500.6,2999.2,14699,126814,81737,135397,6.56,498.6,19.9,8.63
1638903006,PROTECTOR_FRAGMENT,2500.6,2999.2,14699,126810,81737,135401,6.56,498.6,19.9,8.63
1638903006,PROTECTOR_FRAGMENT,2500.6,2999.2,14699,126810,81737,135401,6.56,498.6,19.9,8.63
1638903057,PROTECTOR_FRAGMENT,2500.6,2999.5,14631,126797,81801,135414,6.55,498.9,20.0,8.67
1638903086,PROTECTOR_FRAGMENT,2500.6,2999.5,14631,126797,81801,135414,6.55,498.9,20.0,8.67
1638903086,PROTECTOR_FRAGMENT,2500.6,2999.5,14631,126797,81801,135414,6.55,498.9,20.0,8.67
1638903086,PROTECTOR_FRAGMENT,2500.6,2999.5,14631,126797,81801,135414,6.55,498.9,20.0,8.67
1638903086,PROTECTOR_FRAGMENT,2500.6,2999.5,14631,126797,81801,135414,6.55,498.9,20.0,8.67
1638903226,PROTECTOR_FRAGMENT,2500.6,2999.5,14631,126761,81801,135450,6.55,498.9,20.0,8.66
1638903233,PROTECTOR_FRAGMENT,2500.6,2999.5,14631,126761,81801,135450,6.55,498.9,20.0,8.66
1638903240,PROTECTOR_FRAGMENT,2500.6,2999.5,14631,126757,81801,135454,6.55,498.9,20.0,8.66
1638903248,PROTECTOR_FRAGMENT,2500.6,2999.5,14631,126757,81801,135454,6.55,498.9,20.0,8.66
1638903855,PROTECTOR_FRAGMENT,2500.6,2999.1,14659,126687,81801,135524,6.54,498.5,19.9,8.64
1638904100,PROTECTOR_FRAGMENT,2500.6,2999.1,14659,126644,81801,135567,6.54,498.5,19.9,8.64
1638904100,PROTECTOR_FRAGMENT,2500.6,2999.1,14659,126644,81801,135567,6.54,498.5,19.9,8.64
1638904100,PROTECTOR_FRAGMENT,2500.6,2999.1,14659,126644,81801,135567,6.54,498.5,19.9,8.64
1638904189,PROTECTOR_FRAGMENT,2500.6,2999.5,14619,126634,81841,135577,6.54,498.9,20.0,8.66
1638904196,PROTECTOR_FRAGMENT,2500.6,2999.5,14619,126634,81841,135577,6.54,498.9,20.0,8.66
1638905497,PROTECTOR_FRAGMENT,2500.9,3084.9,14590,128417,82141,135768,6.62,584.0,23.4,8.8
1638905504,PROTECTOR_FRAGMENT,2500.9,3084.9,14590,128417,82141,135768,6.62,584.0,23.400000000000002,8.8
