UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,PERFECT_AMBER_GEM,7189488.1,7442897.4,1708,570941,10031,9960,401.26,253409.3,3.5000000000000004,334.27
1638903006,PERFECT_AMBER_GEM,7189488.2,7442897.4,1708,570943,10031,9960,401.27,253409.2,3.5000000000000004,334.28
1638903006,PERFECT_AMBER_GEM,7189488.2,7442897.4,1708,570943,10031,9960,401.27,253409.2,3.5000000000000004,334.28
1638903057,PERFECT_AMBER_GEM,7189488.2,7442897.4,1708,570943,10031,9960,401.27,253409.2,3.5000000000000004,334.28
1638903086,PERFECT_AMBER_GEM,7189488.2,7442897.5,1708,570943,10031,9960,401.27,253409.3,3.5000000000000004,334.28
1638903086,PERFECT_AMBER_GEM,7189488.2,7442897.5,1708,570943,10031,9960,401.27,253409.3,3.5000000000000004,334.28
1638903086,PERFECT_AMBER_GEM,7189488.2,7442897.5,1708,570943,10031,9960,401.27,253409.3,3.5000000000000004,334.28
1638903086,PERFECT_AMBER_GEM,7189488.2,7442897.5,1708,570943,10031,9960,401.27,253409.3,3.5000000000000004,334.28
1638903226,PERFECT_AMBER_GEM,7189488.3,7442897.5,1733,570944,10034,9960,401.27,253409.2,3.5000000000000004,329.45
1638903233,PERFECT_AMBER_GEM,7189488.3,7442897.5,1733,570944,10034,9960,401.27,253409.2,3.5000000000000004,329.45
1638903240,PERFECT_AMBER_GEM,7189488.3,7442897.5,1733,570944,10034,9960,401.27,253409.2,3.5000000000000004,329.45
1638903248,PERFECT_AMBER_GEM,7189488.3,7442897.5,1733,570944,10034,9960,401.27,253409.2,3.5000000000000004,329.45
1638903855,PERFECT_AMBER_GEM,7189488.7,7442897.4,1713,570967,10043,9960,401.28,253408.7,3.5000000000000004,333.31
1638904100,PERFECT_AMBER_GEM,7189488.9,7442897.4,1712,570985,10044,9960,401.29,253408.5,3.5000000000000004,333.52
1638904100,PERFECT_AMBER_GEM,7189488.9,7442897.4,1712,570985,10044,9960,401.29,253408.5,3.5000000000000004,333.52
1638904100,PERFECT_AMBER_GEM,7189488.9,7442897.4,1712,570985,10044,9960,401.29,253408.5,3.5000000000000004,333.52
1638904189,PERFECT_AMBER_GEM,7189488.9,7442897.4,1712,570984,10044,9961,401.25,253408.5,3.5000000000000004,333.52
1638904196,PERFECT_AMBER_GEM,7189488.9,7442897.4,1712,570984,10044,9961,401.25,253408.5,3.5000000000000004,333.52
1638905497,PERFECT_AMBER_GEM,7189489.3,7442897.0,1768,570961,9871,9781,408.62,253407.7,3.5000000000000004,322.94
1638905504,PERFECT_AMBER_GEM,7189489.3,7442897.0,1768,570961,9871,9781,408.62,253407.7,3.5000000000000004,322.94
