UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,EMERALD,4.6,6.5,1362659,1049395,17249836,39575345,0.19,1.9,41.3,-1.3
1638903006,EMERALD,4.6,6.5,1362531,1047283,17249964,39577457,0.19,1.9,41.3,-1.3
1638903006,EMERALD,4.6,6.5,1362531,1047283,17249964,39577457,0.19,1.9,41.3,-1.3
1638903057,EMERALD,4.6,6.5,1362019,1046282,17250476,39578458,0.19,1.9,41.3,-1.3
1638903086,EMERALD,4.5,6.5,1357071,1045457,17255424,39579283,0.18,2.0,44.4,-1.3
1638903086,EMERALD,4.5,6.5,1357071,1045457,17255424,39579283,0.18,2.0,44.4,-1.3
1638903086,EMERALD,4.5,6.5,1357071,1045457,17255424,39579283,0.18,2.0,44.4,-1.3
1638903086,EMERALD,4.5,6.5,1357071,1045457,17255424,39579283,0.18,2.0,44.4,-1.3
1638903226,EMERALD,4.5,6.5,1346473,1035698,17266141,39589042,0.18,2.0,44.4,-1.3
1638903233,EMERALD,4.5,6.5,1346473,1035698,17266141,39589042,0.18,2.0,44.4,-1.3
1638903240,EMERALD,4.5,6.5,1341787,1034702,17270941,39590038,0.18,2.0,44.4,-1.3
1638903248,EMERALD,4.5,6.5,1341787,1034702,17270941,39590038,0.18,2.0,44.4,-1.3
1638903855,EMERALD,4.6,7.9,1226668,1069907,17283989,39624833,0.19,3.3,71.7,-1.15
1638904100,EMERALD,4.7,7.9,1219214,1061555,17291029,39633185,0.19,3.2,68.10000000000001,-1.15
1638904100,EMERALD,4.7,7.9,1219214,1061555,17291029,39633185,0.19,3.2,68.10000000000001,-1.15
1638904100,EMERALD,4.7,7.9,1219214,1061555,17291029,39633185,0.19,3.2,68.10000000000001,-1.15
1638904189,EMERALD,4.6,7.8,1217219,1045917,17293909,39650871,0.18,3.2,69.6,-1.16
1638904196,EMERALD,4.6,7.8,1217219,1045917,17293909,39650871,0.18,3.2,69.6,-1.16
1638905497,EMERALD,4.8,7.8,1211121,1084616,17105889,39042476,0.19,3.0,62.5,-1.12
1638905504,EMERALD,4.8,7.8,1211121,1084616,17105889,39042476,0.19,3.0,62.5,-1.12
