UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_ACACIA_LOG,420.5,516.4,574128,195850,1039001,1391066,0.99,95.9,22.8,-2.93
1638903006,ENCHANTED_ACACIA_LOG,420.3,516.4,574128,195850,1039001,1391066,0.99,96.1,22.9,-2.93
1638903006,ENCHANTED_ACACIA_LOG,420.3,516.4,574128,195850,1039001,1391066,0.99,96.1,22.9,-2.93
1638903057,ENCHANTED_ACACIA_LOG,420.3,516.4,574128,194841,1039001,1392075,0.98,96.1,22.9,-2.95
1638903086,ENCHANTED_ACACIA_LOG,420.3,516.4,573547,194827,1039582,1392089,0.98,96.1,22.9,-2.94
1638903086,ENCHANTED_ACACIA_LOG,420.3,516.4,573547,194827,1039582,1392089,0.98,96.1,22.9,-2.94
1638903086,ENCHANTED_ACACIA_LOG,420.3,516.4,573547,194827,1039582,1392089,0.98,96.1,22.9,-2.94
1638903086,ENCHANTED_ACACIA_LOG,420.3,516.4,573547,194827,1039582,1392089,0.98,96.1,22.9,-2.94
1638903226,ENCHANTED_ACACIA_LOG,420.3,516.4,573547,194699,1039582,1392217,0.98,96.1,22.9,-2.95
1638903233,ENCHANTED_ACACIA_LOG,420.3,516.4,573547,194699,1039582,1392217,0.98,96.1,22.9,-2.95
1638903240,ENCHANTED_ACACIA_LOG,420.3,516.3,573560,194699,1039582,1392217,0.98,96.0,22.8,-2.95
1638903248,ENCHANTED_ACACIA_LOG,420.3,516.3,573560,194699,1039582,1392217,0.98,96.0,22.8,-2.95
1638903855,ENCHANTED_ACACIA_LOG,420.4,516.0,574644,194717,1039717,1392327,0.98,95.6,22.7,-2.95
1638904100,ENCHANTED_ACACIA_LOG,420.4,516.0,574056,194716,1040305,1392328,0.98,95.6,22.7,-2.95
1638904100,ENCHANTED_ACACIA_LOG,420.4,516.0,574056,194716,1040305,1392328,0.98,95.6,22.7,-2.95
1638904100,ENCHANTED_ACACIA_LOG,420.4,516.0,574056,194716,1040305,1392328,0.98,95.6,22.7,-2.95
1638904189,ENCHANTED_ACACIA_LOG,420.4,516.0,574056,194711,1040305,1392333,0.98,95.6,22.7,-2.95
1638904196,ENCHANTED_ACACIA_LOG,420.4,516.0,574056,194711,1040305,1392333,0.98,95.6,22.7,-2.95
1638905497,ENCHANTED_ACACIA_LOG,401.6,514.8,597337,216485,1042287,1400560,1.08,113.2,28.2,-2.76
1638905504,ENCHANTED_ACACIA_LOG,401.6,514.8,597337,216485,1042287,1400560,1.08,113.2,28.2,-2.76
1638906506,ENCHANTED_ACACIA_LOG,401.6,484.8,602644,215278,1044366,1402792,1.07,83.2,20.7,-2.8
1638906538,ENCHANTED_ACACIA_LOG,401.6,484.8,602644,215278,1044366,1402792,1.07,83.2,20.7,-2.8
1638906598,ENCHANTED_ACACIA_LOG,401.6,484.8,602644,215262,1044366,1402808,1.07,83.2,20.7,-2.8
1638906612,ENCHANTED_ACACIA_LOG,401.6,484.8,602644,215262,1044366,1402808,1.07,83.2,20.7,-2.8
1638906620,ENCHANTED_ACACIA_LOG,401.6,484.8,602644,215262,1044366,1402808,1.07,83.2,20.7,-2.8
1638906646,ENCHANTED_ACACIA_LOG,401.6,484.8,602644,215262,1044366,1402808,1.07,83.2,20.7,-2.8
1638906653,ENCHANTED_ACACIA_LOG,401.6,484.8,602644,215262,1044366,1402808,1.07,83.2,20.7,-2.8
1638906660,ENCHANTED_ACACIA_LOG,401.6,484.8,602644,215262,1044366,1402808,1.07,83.2,20.7,-2.8
1638906889,ENCHANTED_ACACIA_LOG,401.6,484.6,602823,215262,1044366,1402808,1.07,83.0,20.7,-2.8
1638906898,ENCHANTED_ACACIA_LOG,401.6,484.6,602922,215262,1044366,1402808,1.07,83.0,20.7,-2.8
1638906939,ENCHANTED_ACACIA_LOG,401.6,484.7,602346,215262,1044942,1402808,1.07,83.1,20.7,-2.8
1638906980,ENCHANTED_ACACIA_LOG,401.6,484.6,602583,215236,1044942,1402834,1.07,83.0,20.7,-2.8
1638907080,ENCHANTED_ACACIA_LOG,401.6,476.2,604613,215236,1044942,1402834,1.07,74.6,18.6,-2.81
1638907129,ENCHANTED_ACACIA_LOG,401.6,476.2,603654,215236,1046058,1402834,1.07,74.6,18.6,-2.8
1638907209,ENCHANTED_ACACIA_LOG,401.6,476.2,603654,215236,1046058,1402834,1.07,74.6,18.6,-2.8
1638907229,ENCHANTED_ACACIA_LOG,401.6,476.2,603654,215236,1046058,1402834,1.07,74.6,18.6,-2.8
1638907265,ENCHANTED_ACACIA_LOG,401.6,476.3,598867,215236,1047074,1402834,1.07,74.7,18.6,-2.78
1638907280,ENCHANTED_ACACIA_LOG,401.6,476.3,598867,215236,1047074,1402834,1.07,74.7,18.6,-2.78
1638907311,ENCHANTED_ACACIA_LOG,401.6,476.3,598867,215236,1047074,1402834,1.07,74.7,18.6,-2.78
