UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,QUARTZ,11.1,15.6,993189,1422930,9481712,16394994,0.61,4.5,40.5,1.43
1638903006,QUARTZ,11.1,15.5,1062677,1421883,9482224,16396041,0.61,4.4,39.6,1.34
1638903006,QUARTZ,11.1,15.5,1062677,1421883,9482224,16396041,0.61,4.4,39.6,1.34
1638903057,QUARTZ,11.1,15.5,1062677,1421545,9482224,16396379,0.61,4.4,39.6,1.34
1638903086,QUARTZ,11.1,15.5,1062677,1421467,9482224,16396457,0.61,4.4,39.6,1.34
1638903086,QUARTZ,11.1,15.5,1062677,1421467,9482224,16396457,0.61,4.4,39.6,1.34
1638903086,QUARTZ,11.1,15.5,1062677,1421467,9482224,16396457,0.61,4.4,39.6,1.34
1638903086,QUARTZ,11.1,15.5,1062677,1421467,9482224,16396457,0.61,4.4,39.6,1.34
1638903226,QUARTZ,11.1,15.4,1066694,1420453,9482431,16397535,0.61,4.3,38.7,1.33
1638903233,QUARTZ,11.1,15.4,1066694,1420453,9482431,16397535,0.61,4.3,38.7,1.33
1638903240,QUARTZ,11.1,15.4,1066694,1419440,9482431,16398548,0.61,4.3,38.7,1.33
1638903248,QUARTZ,11.1,15.4,1066694,1419440,9482431,16398548,0.61,4.3,38.7,1.33
1638903855,QUARTZ,10.0,15.3,1070157,1409587,9487438,16410611,0.6,5.3,53.0,1.32
1638904100,QUARTZ,10.0,15.5,1067883,1404139,9488782,16416059,0.6,5.5,55.00000000000001,1.31
1638904100,QUARTZ,10.0,15.5,1067883,1404139,9488782,16416059,0.6,5.5,55.00000000000001,1.31
1638904100,QUARTZ,10.0,15.5,1067883,1404139,9488782,16416059,0.6,5.5,55.00000000000001,1.31
1638904189,QUARTZ,10.0,15.5,1067657,1403773,9489008,16416425,0.6,5.5,55.00000000000001,1.31
1638904196,QUARTZ,10.0,15.5,1067657,1403773,9489008,16416425,0.6,5.5,55.00000000000001,1.31
1638905497,QUARTZ,10.0,15.5,1053287,1371210,9503506,16448971,0.58,5.5,55.00000000000001,1.3
1638905504,QUARTZ,10.0,15.5,1053287,1371210,9503506,16448971,0.58,5.5,55.00000000000001,1.3
