UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,RED_GIFT,63437.5,72171.4,21123,119236,154617,103781,8.04,8733.9,13.8,5.64
1638903006,RED_GIFT,63437.5,72171.4,21122,119224,154618,103793,8.04,8733.9,13.8,5.64
1638903006,RED_GIFT,63437.5,72171.4,21122,119224,154618,103793,8.04,8733.9,13.8,5.64
1638903057,RED_GIFT,63437.5,72171.3,21122,119224,154618,103793,8.04,8733.8,13.8,5.64
1638903086,RED_GIFT,63437.5,72171.2,21232,119224,154618,103793,8.04,8733.7,13.8,5.62
1638903086,RED_GIFT,63437.5,72171.2,21232,119224,154618,103793,8.04,8733.7,13.8,5.62
1638903086,RED_GIFT,63437.5,72171.2,21232,119224,154618,103793,8.04,8733.7,13.8,5.62
1638903086,RED_GIFT,63437.5,72171.2,21232,119224,154618,103793,8.04,8733.7,13.8,5.62
1638903226,RED_GIFT,63437.6,72171.0,21250,119395,154618,103822,8.05,8733.4,13.8,5.62
1638903233,RED_GIFT,63437.6,72171.0,21250,119395,154618,103822,8.05,8733.4,13.8,5.62
1638903240,RED_GIFT,63437.6,72170.9,21264,119395,154618,103822,8.05,8733.3,13.8,5.61
1638903248,RED_GIFT,63437.6,72170.9,21264,119395,154618,103822,8.05,8733.3,13.8,5.61
1638903855,RED_GIFT,63437.7,72170.2,20665,119697,154618,103890,8.07,8732.5,13.8,5.79
1638904100,RED_GIFT,63437.7,72170.3,20601,119663,154682,103924,8.06,8732.6,13.8,5.81
1638904100,RED_GIFT,63437.7,72170.3,20601,119663,154682,103924,8.06,8732.6,13.8,5.81
1638904100,RED_GIFT,63437.7,72170.3,20601,119663,154682,103924,8.06,8732.6,13.8,5.81
1638904189,RED_GIFT,63437.7,72170.3,20598,119663,154685,103924,8.06,8732.6,13.8,5.81
1638904196,RED_GIFT,63437.7,72170.3,20598,119663,154685,103924,8.06,8732.6,13.8,5.81
1638905497,RED_GIFT,63438.1,72169.0,21179,118109,154685,103710,7.97,8730.9,13.8,5.58
1638905504,RED_GIFT,63438.1,72169.0,21179,118109,154685,103710,7.97,8730.9,13.8,5.58
