UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_SHARK_FIN,13344.6,17499.2,12591,26446,21241,21381,8.66,4154.6,31.1,2.1
1638903006,ENCHANTED_SHARK_FIN,13344.7,17499.2,12585,26456,21247,21381,8.66,4154.5,31.1,2.1
1638903006,ENCHANTED_SHARK_FIN,13344.7,17499.2,12585,26456,21247,21381,8.66,4154.5,31.1,2.1
1638903057,ENCHANTED_SHARK_FIN,13344.7,17499.2,12585,26456,21247,21381,8.66,4154.5,31.1,2.1
1638903086,ENCHANTED_SHARK_FIN,13344.7,17499.2,12585,26456,21247,21381,8.66,4154.5,31.1,2.1
1638903086,ENCHANTED_SHARK_FIN,13344.7,17499.2,12585,26456,21247,21381,8.66,4154.5,31.1,2.1
1638903086,ENCHANTED_SHARK_FIN,13344.7,17499.2,12585,26456,21247,21381,8.66,4154.5,31.1,2.1
1638903086,ENCHANTED_SHARK_FIN,13344.7,17499.2,12585,26456,21247,21381,8.66,4154.5,31.1,2.1
1638903226,ENCHANTED_SHARK_FIN,13344.7,17499.2,12580,26456,21252,21381,8.66,4154.5,31.1,2.1
1638903233,ENCHANTED_SHARK_FIN,13344.7,17499.2,12580,26456,21252,21381,8.66,4154.5,31.1,2.1
1638903240,ENCHANTED_SHARK_FIN,13344.7,17499.2,12580,26456,21252,21381,8.66,4154.5,31.1,2.1
1638903248,ENCHANTED_SHARK_FIN,13344.7,17499.2,12580,26456,21252,21381,8.66,4154.5,31.1,2.1
1638903855,ENCHANTED_SHARK_FIN,13344.6,17499.1,12617,26400,21252,21437,8.62,4154.5,31.1,2.09
1638904100,ENCHANTED_SHARK_FIN,13344.6,17499.1,12617,26395,21252,21455,8.61,4154.5,31.1,2.09
1638904100,ENCHANTED_SHARK_FIN,13344.6,17499.1,12617,26395,21252,21455,8.61,4154.5,31.1,2.09
1638904100,ENCHANTED_SHARK_FIN,13344.6,17499.1,12617,26395,21252,21455,8.61,4154.5,31.1,2.09
