UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_SPRUCE_LOG,1178.8,1397.7,220219,1322229,1926562,1692317,5.47,218.9,18.6,6.0
1638903006,ENCHANTED_SPRUCE_LOG,1178.8,1429.8,216186,1322010,1927842,1692536,5.47,251.0,21.3,6.12
1638903006,ENCHANTED_SPRUCE_LOG,1178.8,1429.8,216186,1322010,1927842,1692536,5.47,251.0,21.3,6.12
1638903057,ENCHANTED_SPRUCE_LOG,1178.8,1429.8,216201,1321999,1927842,1692547,5.47,251.0,21.3,6.11
1638903086,ENCHANTED_SPRUCE_LOG,1178.8,1429.8,216201,1321935,1927842,1692611,5.47,251.0,21.3,6.11
1638903086,ENCHANTED_SPRUCE_LOG,1178.8,1429.8,216201,1321935,1927842,1692611,5.47,251.0,21.3,6.11
1638903086,ENCHANTED_SPRUCE_LOG,1178.8,1429.8,216201,1321935,1927842,1692611,5.47,251.0,21.3,6.11
1638903086,ENCHANTED_SPRUCE_LOG,1178.8,1429.8,216201,1321935,1927842,1692611,5.47,251.0,21.3,6.11
1638903226,ENCHANTED_SPRUCE_LOG,1179.1,1549.3,213330,1323726,1930402,1692692,5.47,370.2,31.4,6.21
1638903233,ENCHANTED_SPRUCE_LOG,1179.1,1549.3,213330,1323726,1930402,1692692,5.47,370.2,31.4,6.21
1638903240,ENCHANTED_SPRUCE_LOG,1179.1,1549.3,213318,1323726,1930414,1692692,5.47,370.2,31.4,6.21
1638903248,ENCHANTED_SPRUCE_LOG,1179.1,1549.3,213318,1323726,1930414,1692692,5.47,370.2,31.4,6.21
1638903855,ENCHANTED_SPRUCE_LOG,1178.9,1549.7,212923,1320064,1935108,1697466,5.44,370.8,31.5,6.2
1638904100,ENCHANTED_SPRUCE_LOG,1197.6,1549.5,213377,1320784,1935108,1697770,5.45,351.9,29.4,6.19
1638904100,ENCHANTED_SPRUCE_LOG,1197.6,1549.5,213377,1320784,1935108,1697770,5.45,351.9,29.4,6.19
1638904100,ENCHANTED_SPRUCE_LOG,1197.6,1549.5,213377,1320784,1935108,1697770,5.45,351.9,29.4,6.19
1638904189,ENCHANTED_SPRUCE_LOG,1179.0,1514.2,213765,1320575,1935236,1697983,5.44,335.2,28.4,6.18
1638904196,ENCHANTED_SPRUCE_LOG,1179.0,1514.2,213765,1320575,1935236,1697983,5.44,335.2,28.4,6.18
1638905497,ENCHANTED_SPRUCE_LOG,1178.9,1549.7,212771,1318682,1940935,1703077,5.42,370.8,31.5,6.2
1638905504,ENCHANTED_SPRUCE_LOG,1178.9,1549.7,212771,1318682,1940935,1703077,5.42,370.8,31.5,6.2
1638906506,ENCHANTED_SPRUCE_LOG,1217.8,1549.3,216569,1338414,1943071,1703766,5.5,331.5,27.200000000000003,6.18
1638906538,ENCHANTED_SPRUCE_LOG,1217.9,1549.2,216569,1338368,1943071,1703768,5.5,331.3,27.200000000000003,6.18
1638906598,ENCHANTED_SPRUCE_LOG,1217.9,1549.2,216625,1339356,1943071,1703780,5.5,331.3,27.200000000000003,6.18
1638906612,ENCHANTED_SPRUCE_LOG,1218.0,1549.1,216625,1339356,1943071,1703780,5.5,331.1,27.200000000000003,6.18
1638906620,ENCHANTED_SPRUCE_LOG,1218.0,1549.1,216625,1339356,1943071,1703780,5.5,331.1,27.200000000000003,6.18
1638906646,ENCHANTED_SPRUCE_LOG,1218.0,1549.1,216637,1340332,1943071,1703828,5.51,331.1,27.200000000000003,6.19
1638906653,ENCHANTED_SPRUCE_LOG,1218.0,1549.1,216637,1340332,1943071,1703828,5.51,331.1,27.200000000000003,6.19
1638906660,ENCHANTED_SPRUCE_LOG,1218.1,1549.1,216637,1340210,1943071,1703950,5.51,331.0,27.200000000000003,6.19
1638906889,ENCHANTED_SPRUCE_LOG,1234.8,1549.3,215326,1338931,1944607,1704223,5.5,314.5,25.5,6.22
1638906898,ENCHANTED_SPRUCE_LOG,1234.8,1549.2,215628,1339947,1944607,1704231,5.5,314.4,25.5,6.21
1638906939,ENCHANTED_SPRUCE_LOG,1234.8,1549.1,217484,1339947,1944607,1704231,5.5,314.3,25.5,6.16
1638906980,ENCHANTED_SPRUCE_LOG,1234.8,1549.0,217649,1339947,1944607,1704231,5.5,314.2,25.4,6.16
1638907080,ENCHANTED_SPRUCE_LOG,1234.8,1548.8,217657,1339723,1944616,1704455,5.5,314.0,25.4,6.16
1638907129,ENCHANTED_SPRUCE_LOG,1234.8,1548.7,218859,1339723,1944616,1704455,5.5,313.9,25.4,6.12
1638907209,ENCHANTED_SPRUCE_LOG,1234.8,1549.1,216844,1339594,1946760,1704584,5.5,314.3,25.5,6.18
1638907229,ENCHANTED_SPRUCE_LOG,1234.8,1548.9,216898,1339594,1946760,1704584,5.5,314.1,25.4,6.18
1638907265,ENCHANTED_SPRUCE_LOG,1234.8,1548.9,216919,1339594,1946760,1704584,5.5,314.1,25.4,6.18
