UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_BIRCH_LOG,321.2,400.0,288505,1559129,1578105,1767225,6.18,78.8,24.5,5.4
1638903006,ENCHANTED_BIRCH_LOG,321.2,400.0,288485,1559129,1578125,1767225,6.18,78.8,24.5,5.4
1638903006,ENCHANTED_BIRCH_LOG,321.2,400.0,288485,1559129,1578125,1767225,6.18,78.8,24.5,5.4
1638903057,ENCHANTED_BIRCH_LOG,321.2,400.0,288485,1559129,1578125,1767225,6.18,78.8,24.5,5.4
1638903086,ENCHANTED_BIRCH_LOG,321.2,400.0,288477,1559033,1578133,1767321,6.18,78.8,24.5,5.4
1638903086,ENCHANTED_BIRCH_LOG,321.2,400.0,288477,1559033,1578133,1767321,6.18,78.8,24.5,5.4
1638903086,ENCHANTED_BIRCH_LOG,321.2,400.0,288477,1559033,1578133,1767321,6.18,78.8,24.5,5.4
1638903086,ENCHANTED_BIRCH_LOG,321.2,400.0,288477,1559033,1578133,1767321,6.18,78.8,24.5,5.4
1638903226,ENCHANTED_BIRCH_LOG,321.2,400.0,288370,1559033,1578240,1767321,6.18,78.8,24.5,5.41
1638903233,ENCHANTED_BIRCH_LOG,321.2,400.0,288370,1559033,1578240,1767321,6.18,78.8,24.5,5.41
1638903240,ENCHANTED_BIRCH_LOG,321.2,400.0,288306,1559033,1578304,1767321,6.18,78.8,24.5,5.41
1638903248,ENCHANTED_BIRCH_LOG,321.2,400.0,288306,1559033,1578304,1767321,6.18,78.8,24.5,5.41
1638903855,ENCHANTED_BIRCH_LOG,321.2,399.9,288209,1561741,1579624,1770113,6.18,78.7,24.5,5.42
1638904100,ENCHANTED_BIRCH_LOG,321.1,399.9,289211,1560105,1579646,1771749,6.16,78.8,24.5,5.39
1638904100,ENCHANTED_BIRCH_LOG,321.1,399.9,289211,1560105,1579646,1771749,6.16,78.8,24.5,5.39
1638904100,ENCHANTED_BIRCH_LOG,321.1,399.9,289211,1560105,1579646,1771749,6.16,78.8,24.5,5.39
1638904189,ENCHANTED_BIRCH_LOG,321.1,399.9,289211,1560001,1579646,1771853,6.16,78.8,24.5,5.39
1638904196,ENCHANTED_BIRCH_LOG,321.1,399.9,289211,1560001,1579646,1771853,6.16,78.8,24.5,5.39
1638905497,ENCHANTED_BIRCH_LOG,321.4,370.0,291147,1609868,1582705,1775050,6.35,48.6,15.1,5.53
1638905504,ENCHANTED_BIRCH_LOG,321.4,370.0,291147,1609868,1582705,1775050,6.35,48.6,15.1,5.53
