UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_CLOWNFISH,3173.9,3528.7,39560,172573,47441,394676,3.06,354.8,11.2,4.36
1638903006,ENCHANTED_CLOWNFISH,3173.9,3528.7,39560,172555,47441,394694,3.06,354.8,11.2,4.36
1638903006,ENCHANTED_CLOWNFISH,3173.9,3528.7,39560,172555,47441,394694,3.06,354.8,11.2,4.36
1638903057,ENCHANTED_CLOWNFISH,3173.9,3528.7,39560,172553,47441,394696,3.06,354.8,11.2,4.36
1638903086,ENCHANTED_CLOWNFISH,3173.9,3528.6,39560,172527,47441,394722,3.06,354.7,11.2,4.36
1638903086,ENCHANTED_CLOWNFISH,3173.9,3528.6,39560,172527,47441,394722,3.06,354.7,11.2,4.36
1638903086,ENCHANTED_CLOWNFISH,3173.9,3528.6,39560,172527,47441,394722,3.06,354.7,11.2,4.36
1638903086,ENCHANTED_CLOWNFISH,3173.9,3528.6,39560,172527,47441,394722,3.06,354.7,11.2,4.36
1638903226,ENCHANTED_CLOWNFISH,3174.0,3528.5,39795,173523,47442,394750,3.08,354.5,11.2,4.36
1638903233,ENCHANTED_CLOWNFISH,3174.0,3528.5,39795,173523,47442,394750,3.08,354.5,11.2,4.36
1638903240,ENCHANTED_CLOWNFISH,3174.0,3528.5,39795,173520,47442,394753,3.08,354.5,11.2,4.36
1638903248,ENCHANTED_CLOWNFISH,3174.0,3528.5,39795,173520,47442,394753,3.08,354.5,11.2,4.36
1638903855,ENCHANTED_CLOWNFISH,3173.9,3528.5,39785,172423,47446,394888,3.06,354.6,11.2,4.33
1638904100,ENCHANTED_CLOWNFISH,3174.0,3528.5,39788,172396,47448,395075,3.05,354.5,11.2,4.33
1638904100,ENCHANTED_CLOWNFISH,3174.0,3528.5,39788,172396,47448,395075,3.05,354.5,11.2,4.33
1638904100,ENCHANTED_CLOWNFISH,3174.0,3528.5,39788,172396,47448,395075,3.05,354.5,11.2,4.33
1638904189,ENCHANTED_CLOWNFISH,3173.9,3528.4,39792,172365,47448,391779,3.08,354.5,11.2,4.33
1638904196,ENCHANTED_CLOWNFISH,3173.9,3528.4,39792,172365,47448,391779,3.08,354.5,11.2,4.33
1638905497,ENCHANTED_CLOWNFISH,3173.9,3527.9,40423,171912,47451,392530,3.07,354.0,11.2,4.25
1638905504,ENCHANTED_CLOWNFISH,3173.9,3527.9,40423,171912,47451,392530,3.07,354.0,11.200000000000001,4.25
