UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,MAGMA_CREAM,6.0,9.6,212043,983069,3113785,9037509,0.76,3.6,60.0,4.64
1638903006,MAGMA_CREAM,6.0,9.6,210163,982941,3114425,9037637,0.76,3.6,60.0,4.68
1638903006,MAGMA_CREAM,6.0,9.6,210163,982941,3114425,9037637,0.76,3.6,60.0,4.68
1638903057,MAGMA_CREAM,6.0,9.8,207411,982933,3117177,9037645,0.76,3.8,63.3,4.74
1638903086,MAGMA_CREAM,6.0,9.8,207411,981444,3117177,9039134,0.76,3.8,63.3,4.73
1638903086,MAGMA_CREAM,6.0,9.8,207411,981444,3117177,9039134,0.76,3.8,63.3,4.73
1638903086,MAGMA_CREAM,6.0,9.8,207411,981444,3117177,9039134,0.76,3.8,63.3,4.73
1638903086,MAGMA_CREAM,6.0,9.8,207411,981444,3117177,9039134,0.76,3.8,63.3,4.73
1638903226,MAGMA_CREAM,6.0,9.8,207411,980334,3117177,9040244,0.76,3.8,63.3,4.73
1638903233,MAGMA_CREAM,6.0,9.8,207411,980334,3117177,9040244,0.76,3.8,63.3,4.73
1638903240,MAGMA_CREAM,6.0,9.8,207411,980252,3117177,9040326,0.76,3.8,63.3,4.73
1638903248,MAGMA_CREAM,6.0,9.8,207411,980252,3117177,9040326,0.76,3.8,63.3,4.73
1638903855,MAGMA_CREAM,6.0,9.9,205168,977462,3119420,9043116,0.76,3.9,65.0,4.76
1638904100,MAGMA_CREAM,6.0,9.9,205168,975640,3119420,9044938,0.76,3.9,65.0,4.76
1638904100,MAGMA_CREAM,6.0,9.9,205168,975640,3119420,9044938,0.76,3.9,65.0,4.76
1638904100,MAGMA_CREAM,6.0,9.9,205168,975640,3119420,9044938,0.76,3.9,65.0,4.76
1638904189,MAGMA_CREAM,6.0,9.9,205168,975565,3119420,9045013,0.75,3.9,65.0,4.75
1638904196,MAGMA_CREAM,6.0,9.9,205168,975565,3119420,9045013,0.75,3.9,65.0,4.75
1638905497,MAGMA_CREAM,6.1,9.9,202460,1038931,2601999,7352912,0.99,3.8,62.3,5.13
1638905504,MAGMA_CREAM,6.1,9.9,202460,1038931,2601999,7352912,0.99,3.8,62.3,5.13
