UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,REVENANT_FLESH,6.3,6.4,6260355,3585333,23695365,45237972,0.55,0.1,1.6,-1.75
1638903006,REVENANT_FLESH,6.3,6.4,6247363,3567559,23708357,45255746,0.55,0.1,1.6,-1.75
1638903006,REVENANT_FLESH,6.3,6.4,6247363,3567559,23708357,45255746,0.55,0.1,1.6,-1.75
1638903057,REVENANT_FLESH,6.0,6.3,6238275,3561684,23717445,45261621,0.55,0.3,5.0,-1.75
1638903086,REVENANT_FLESH,6.0,6.4,6271185,3557952,23722693,45265353,0.55,0.4,6.7,-1.76
1638903086,REVENANT_FLESH,6.0,6.4,6271185,3557952,23722693,45265353,0.55,0.4,6.7,-1.76
1638903086,REVENANT_FLESH,6.0,6.4,6271185,3557952,23722693,45265353,0.55,0.4,6.7,-1.76
1638903086,REVENANT_FLESH,6.0,6.4,6271185,3557952,23722693,45265353,0.55,0.4,6.7,-1.76
1638903226,REVENANT_FLESH,6.0,6.4,6250833,3535848,23743045,45287457,0.55,0.4,6.7,-1.77
1638903233,REVENANT_FLESH,6.0,6.4,6250833,3535848,23743045,45287457,0.55,0.4,6.7,-1.77
1638903240,REVENANT_FLESH,6.0,6.4,6247121,3531276,23746757,45292029,0.55,0.4,6.7,-1.77
1638903248,REVENANT_FLESH,6.0,6.4,6247121,3531276,23746757,45292029,0.55,0.4,6.7,-1.77
1638903855,REVENANT_FLESH,5.8,6.4,6224128,3187092,23773267,45391433,0.49,0.6,10.3,-1.95
1638904100,REVENANT_FLESH,5.0,6.4,6213045,3173451,23784419,45407670,0.49,1.4,28.000000000000004,-1.96
1638904100,REVENANT_FLESH,5.0,6.4,6213045,3173451,23784419,45407670,0.49,1.4,28.000000000000004,-1.96
1638904100,REVENANT_FLESH,5.0,6.4,6213045,3173451,23784419,45407670,0.49,1.4,28.000000000000004,-1.96
1638904189,REVENANT_FLESH,5.0,6.2,6211381,3099230,23788131,45412915,0.48,1.2,24.0,-2.0
1638904196,REVENANT_FLESH,5.0,6.2,6211381,3099230,23788131,45412915,0.48,1.2,24.0,-2.0
1638905497,REVENANT_FLESH,3.3,5.9,6275961,3098654,23817130,45517624,0.48,2.6,78.8,-2.03
1638905504,REVENANT_FLESH,3.3,5.9,6275961,3098654,23817130,45517624,0.48,2.6,78.8,-2.03
1638906506,REVENANT_FLESH,3.6,5.7,6277216,3160174,23830756,45587480,0.49,2.1,58.3,-1.99
1638906538,REVENANT_FLESH,3.6,5.7,6277216,3159056,23830756,45588598,0.49,2.1,58.3,-1.99
1638906598,REVENANT_FLESH,3.6,5.9,6274224,3156941,23833892,45590713,0.48,2.3,63.9,-1.99
1638906612,REVENANT_FLESH,3.6,5.9,6274224,3156275,23833892,45591379,0.48,2.3,63.9,-1.99
