UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,IRON_INGOT,7.8,9.0,638580,4808885,12359916,100712317,0.33,1.2,15.4,7.53
1638903006,IRON_INGOT,7.8,9.0,637089,4777361,12361407,100743841,0.33,1.2,15.4,7.5
1638903006,IRON_INGOT,7.8,9.0,637089,4777361,12361407,100743841,0.33,1.2,15.4,7.5
1638903057,IRON_INGOT,7.8,9.0,636960,4771810,12361536,100749392,0.33,1.2,15.4,7.49
1638903086,IRON_INGOT,7.8,8.9,637340,4761932,12361540,100759270,0.33,1.1,14.099999999999998,7.47
1638903086,IRON_INGOT,7.8,8.9,637340,4761932,12361540,100759270,0.33,1.1,14.099999999999998,7.47
1638903086,IRON_INGOT,7.8,8.9,637340,4761932,12361540,100759270,0.33,1.1,14.099999999999998,7.47
1638903086,IRON_INGOT,7.8,8.9,637340,4761932,12361540,100759270,0.33,1.1,14.099999999999998,7.47
1638903226,IRON_INGOT,7.8,9.0,636945,4741092,12361935,100780110,0.33,1.2,15.4,7.44
1638903233,IRON_INGOT,7.8,9.0,636945,4741092,12361935,100780110,0.33,1.2,15.4,7.44
1638903240,IRON_INGOT,7.9,9.0,635857,4808124,12363023,100784758,0.33,1.1,13.900000000000002,7.56
1638903248,IRON_INGOT,7.9,9.0,635857,4808124,12363023,100784758,0.33,1.1,13.900000000000002,7.56
1638903855,IRON_INGOT,7.8,9.0,632311,4777929,12367053,100889753,0.33,1.2,15.4,7.56
1638904100,IRON_INGOT,7.9,9.0,628542,4821376,12371462,100916306,0.33,1.1,13.900000000000002,7.67
1638904100,IRON_INGOT,7.9,9.0,628542,4821376,12371462,100916306,0.33,1.1,13.900000000000002,7.67
1638904100,IRON_INGOT,7.9,9.0,628542,4821376,12371462,100916306,0.33,1.1,13.900000000000002,7.67
1638904189,IRON_INGOT,8.0,8.8,628596,4774967,12371463,100965883,0.33,0.8,10.0,7.6
1638904196,IRON_INGOT,8.0,8.8,628596,4774967,12371463,100965883,0.33,0.8,10.0,7.6
1638905497,IRON_INGOT,7.9,8.8,744642,5132526,12420380,101281493,0.35,0.9,11.4,6.89
1638905504,IRON_INGOT,7.9,8.8,744642,5132526,12420380,101281493,0.35,0.9,11.4,6.89
