UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FLAWLESS_JADE_GEM,1300000.7,1634090.4,1087,71299,9319,8464,58.97,334089.7,25.7,65.59
1638903006,FLAWLESS_JADE_GEM,1300000.5,1634090.3,1086,71291,9319,8476,58.88,334089.8,25.7,65.65
1638903006,FLAWLESS_JADE_GEM,1300000.5,1634090.3,1086,71291,9319,8476,58.88,334089.8,25.7,65.65
1638903057,FLAWLESS_JADE_GEM,1300000.5,1634090.3,1086,71291,9319,8476,58.88,334089.8,25.7,65.65
1638903086,FLAWLESS_JADE_GEM,1300000.5,1634090.3,1086,71291,9319,8476,58.88,334089.8,25.7,65.65
1638903086,FLAWLESS_JADE_GEM,1300000.5,1634090.3,1086,71291,9319,8476,58.88,334089.8,25.7,65.65
1638903086,FLAWLESS_JADE_GEM,1300000.5,1634090.3,1086,71291,9319,8476,58.88,334089.8,25.7,65.65
1638903086,FLAWLESS_JADE_GEM,1300000.5,1634090.3,1086,71291,9319,8476,58.88,334089.8,25.7,65.65
1638903226,FLAWLESS_JADE_GEM,1300000.9,1634090.3,1086,71305,9319,8476,58.89,334089.4,25.7,65.66
1638903233,FLAWLESS_JADE_GEM,1300000.9,1634090.3,1086,71305,9319,8476,58.89,334089.4,25.7,65.66
1638903240,FLAWLESS_JADE_GEM,1300000.9,1634090.3,1086,71305,9319,8476,58.89,334089.4,25.7,65.66
1638903248,FLAWLESS_JADE_GEM,1300000.9,1634090.3,1086,71305,9319,8476,58.89,334089.4,25.7,65.66
1638903855,FLAWLESS_JADE_GEM,1300002.7,1634090.6,1065,71418,9244,8420,59.37,334087.9,25.7,67.06
1638904100,FLAWLESS_JADE_GEM,1300003.7,1634090.3,1070,71481,9244,8423,59.4,334086.6,25.7,66.8
1638904100,FLAWLESS_JADE_GEM,1300003.7,1634090.3,1070,71481,9244,8423,59.4,334086.6,25.7,66.8
1638904100,FLAWLESS_JADE_GEM,1300003.7,1634090.3,1070,71481,9244,8423,59.4,334086.6,25.7,66.8
1638904189,FLAWLESS_JADE_GEM,1300003.9,1634090.3,1070,71494,9244,8423,59.42,334086.4,25.7,66.82
1638904196,FLAWLESS_JADE_GEM,1300003.9,1634090.3,1070,71494,9244,8423,59.42,334086.4,25.7,66.82
