UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_ENDER_PEARL,145.5,170.8,147092,770362,4380714,9410431,0.57,25.3,17.4,5.24
1638903006,ENCHANTED_ENDER_PEARL,145.8,170.9,147240,770230,4381642,9411813,0.57,25.1,17.2,5.23
1638903006,ENCHANTED_ENDER_PEARL,145.8,170.9,147240,770230,4381642,9411813,0.57,25.1,17.2,5.23
1638903057,ENCHANTED_ENDER_PEARL,146.0,170.7,143583,771299,4385434,9412253,0.57,24.7,16.900000000000002,5.37
1638903086,ENCHANTED_ENDER_PEARL,146.1,170.6,143940,770915,4385692,9412642,0.57,24.5,16.8,5.36
1638903086,ENCHANTED_ENDER_PEARL,146.1,170.6,143940,770915,4385692,9412642,0.57,24.5,16.8,5.36
1638903086,ENCHANTED_ENDER_PEARL,146.1,170.6,143940,770915,4385692,9412642,0.57,24.5,16.8,5.36
1638903086,ENCHANTED_ENDER_PEARL,146.1,170.6,143940,770915,4385692,9412642,0.57,24.5,16.8,5.36
1638903226,ENCHANTED_ENDER_PEARL,146.2,170.3,144161,771308,4386776,9414143,0.57,24.1,16.5,5.35
1638903233,ENCHANTED_ENDER_PEARL,146.2,170.3,144161,771308,4386776,9414143,0.57,24.1,16.5,5.35
1638903240,ENCHANTED_ENDER_PEARL,146.2,170.9,141729,772257,4388840,9414378,0.57,24.7,16.900000000000002,5.45
1638903248,ENCHANTED_ENDER_PEARL,146.2,170.9,141729,772257,4388840,9414378,0.57,24.7,16.900000000000002,5.45
1638903855,ENCHANTED_ENDER_PEARL,145.8,170.7,141056,770848,4394406,9423528,0.57,24.9,17.1,5.46
1638904100,ENCHANTED_ENDER_PEARL,145.5,170.6,141416,767002,4395974,9427987,0.57,25.1,17.299999999999997,5.42
1638904100,ENCHANTED_ENDER_PEARL,145.5,170.6,141416,767002,4395974,9427987,0.57,25.1,17.299999999999997,5.42
1638904100,ENCHANTED_ENDER_PEARL,145.5,170.6,141416,767002,4395974,9427987,0.57,25.1,17.299999999999997,5.42
1638904189,ENCHANTED_ENDER_PEARL,145.7,170.4,141410,766105,4396550,9429911,0.57,24.7,17.0,5.42
1638904196,ENCHANTED_ENDER_PEARL,145.7,170.4,141410,766105,4396550,9429911,0.57,24.7,17.0,5.42
1638905497,ENCHANTED_ENDER_PEARL,145.5,169.7,145691,761022,4409645,9451693,0.56,24.2,16.6,5.22
1638905504,ENCHANTED_ENDER_PEARL,145.5,169.7,145691,761022,4409645,9451693,0.56,24.2,16.6,5.22
1638906506,ENCHANTED_ENDER_PEARL,145.9,165.3,156406,778699,4417021,9470295,0.58,19.4,13.3,4.98
1638906538,ENCHANTED_ENDER_PEARL,145.7,165.2,156415,778581,4417030,9470733,0.58,19.5,13.4,4.98
1638906598,ENCHANTED_ENDER_PEARL,145.7,165.0,156770,777551,4417039,9471763,0.57,19.3,13.2,4.96
1638906612,ENCHANTED_ENDER_PEARL,145.7,165.0,156514,776759,4417295,9471884,0.57,19.3,13.2,4.96
1638906620,ENCHANTED_ENDER_PEARL,145.7,165.0,156514,776759,4417295,9471884,0.57,19.3,13.2,4.96
1638906646,ENCHANTED_ENDER_PEARL,145.8,165.0,156465,777436,4417344,9472231,0.57,19.2,13.2,4.97
1638906653,ENCHANTED_ENDER_PEARL,145.8,165.1,156434,777242,4417375,9472425,0.57,19.3,13.2,4.97
1638906660,ENCHANTED_ENDER_PEARL,145.8,165.0,156434,777242,4417375,9472425,0.57,19.2,13.2,4.97
1638906889,ENCHANTED_ENDER_PEARL,145.8,161.1,158398,775734,4417699,9474560,0.57,15.3,10.5,4.9
1638906898,ENCHANTED_ENDER_PEARL,145.8,161.1,158398,775603,4417699,9474691,0.57,15.3,10.5,4.9
