UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_BROWN_MUSHROOM,620.6,735.1,119353,90374,506019,672131,0.94,114.5,18.4,-1.32
1638903006,ENCHANTED_BROWN_MUSHROOM,620.6,735.0,119383,90369,506019,672136,0.94,114.4,18.4,-1.32
1638903006,ENCHANTED_BROWN_MUSHROOM,620.6,735.0,119383,90369,506019,672136,0.94,114.4,18.4,-1.32
1638903057,ENCHANTED_BROWN_MUSHROOM,620.6,735.0,119422,90330,506019,672175,0.94,114.4,18.4,-1.32
1638903086,ENCHANTED_BROWN_MUSHROOM,620.6,735.0,119116,90330,506019,672175,0.94,114.4,18.4,-1.32
1638903086,ENCHANTED_BROWN_MUSHROOM,620.6,735.0,119116,90330,506019,672175,0.94,114.4,18.4,-1.32
1638903086,ENCHANTED_BROWN_MUSHROOM,620.6,735.0,119116,90330,506019,672175,0.94,114.4,18.4,-1.32
1638903086,ENCHANTED_BROWN_MUSHROOM,620.6,735.0,119116,90330,506019,672175,0.94,114.4,18.4,-1.32
1638903226,ENCHANTED_BROWN_MUSHROOM,620.5,735.2,118968,90214,506231,672258,0.94,114.7,18.5,-1.32
1638903233,ENCHANTED_BROWN_MUSHROOM,620.5,735.2,118968,90214,506231,672258,0.94,114.7,18.5,-1.32
1638903240,ENCHANTED_BROWN_MUSHROOM,620.5,735.2,118968,90214,506231,672258,0.94,114.7,18.5,-1.32
1638903248,ENCHANTED_BROWN_MUSHROOM,620.5,735.2,118968,90214,506231,672258,0.94,114.7,18.5,-1.32
1638903855,ENCHANTED_BROWN_MUSHROOM,620.5,735.8,116815,90112,508384,673384,0.94,115.3,18.6,-1.3
1638904100,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117060,90112,508385,673384,0.94,115.1,18.5,-1.3
1638904100,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117060,90112,508385,673384,0.94,115.1,18.5,-1.3
1638904100,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117060,90112,508385,673384,0.94,115.1,18.5,-1.3
1638904189,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117060,89980,508385,673516,0.94,115.1,18.5,-1.3
1638904196,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117060,89980,508385,673516,0.94,115.1,18.5,-1.3
1638905497,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117052,89029,508395,674595,0.92,115.1,18.5,-1.31
1638905504,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117052,89029,508395,674595,0.92,115.1,18.5,-1.31
1638906506,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117029,88694,509722,674930,0.92,115.1,18.5,-1.32
1638906538,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117029,88694,509722,674930,0.92,115.1,18.5,-1.32
1638906598,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117029,88694,509722,674930,0.92,115.1,18.5,-1.32
1638906612,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117029,88694,509722,674930,0.92,115.1,18.5,-1.32
1638906620,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117029,88694,509722,674930,0.92,115.1,18.5,-1.32
1638906646,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117029,88694,509722,674930,0.92,115.1,18.5,-1.32
1638906653,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117029,88694,509722,674930,0.92,115.1,18.5,-1.32
1638906660,ENCHANTED_BROWN_MUSHROOM,620.5,735.6,117029,88694,509722,674930,0.92,115.1,18.5,-1.32
1638906889,ENCHANTED_BROWN_MUSHROOM,620.5,735.5,117044,88465,509725,675159,0.92,115.0,18.5,-1.32
1638906898,ENCHANTED_BROWN_MUSHROOM,620.5,735.5,117044,88465,509725,675159,0.92,115.0,18.5,-1.32
