UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,BOOSTER_COOKIE,3793562.6,3858432.1,7376,12643,61549,73223,1.21,64869.5,1.7000000000000002,1.71
1638903006,BOOSTER_COOKIE,3782766.9,3858431.9,7369,12502,61562,73287,1.19,75665.0,2.0,1.7
1638903006,BOOSTER_COOKIE,3782766.9,3858431.9,7369,12502,61562,73287,1.19,75665.0,2.0,1.7
1638903057,BOOSTER_COOKIE,3782767.2,3858431.6,7381,12517,61563,73287,1.2,75664.4,2.0,1.7
1638903086,BOOSTER_COOKIE,3786550.5,3858431.5,7391,12523,61565,73287,1.2,71881.0,1.9,1.69
1638903086,BOOSTER_COOKIE,3786550.5,3858431.5,7391,12523,61565,73287,1.2,71881.0,1.9,1.69
1638903086,BOOSTER_COOKIE,3786550.5,3858431.5,7391,12523,61565,73287,1.2,71881.0,1.9,1.69
1638903086,BOOSTER_COOKIE,3786550.5,3858431.5,7391,12523,61565,73287,1.2,71881.0,1.9,1.69
1638903226,BOOSTER_COOKIE,3790144.9,3858431.3,7431,12510,61574,73296,1.19,68286.4,1.7999999999999998,1.68
1638903233,BOOSTER_COOKIE,3790144.9,3858431.3,7431,12510,61574,73296,1.19,68286.4,1.7999999999999998,1.68
1638903240,BOOSTER_COOKIE,3790145.0,3858431.3,7431,12517,61574,73296,1.2,68286.3,1.7999999999999998,1.68
1638903248,BOOSTER_COOKIE,3790145.0,3858431.3,7431,12517,61574,73296,1.2,68286.3,1.7999999999999998,1.68
1638903855,BOOSTER_COOKIE,3790149.3,3854999.6,7574,13043,61623,73354,1.24,64850.3,1.7000000000000002,1.72
1638904100,BOOSTER_COOKIE,3790151.7,3854998.9,7616,13499,61642,73383,1.29,64847.2,1.7000000000000002,1.77
1638904100,BOOSTER_COOKIE,3790151.7,3854998.9,7616,13499,61642,73383,1.29,64847.2,1.7000000000000002,1.77
1638904100,BOOSTER_COOKIE,3790151.7,3854998.9,7616,13499,61642,73383,1.29,64847.2,1.7000000000000002,1.77
1638904189,BOOSTER_COOKIE,3790152.3,3854998.6,7615,13696,61651,73383,1.31,64846.3,1.7000000000000002,1.8
1638904196,BOOSTER_COOKIE,3790152.3,3854998.6,7615,13696,61651,73383,1.31,64846.3,1.7000000000000002,1.8
1638905497,BOOSTER_COOKIE,3796479.8,3858429.2,7561,13865,61583,73106,1.33,61949.4,1.6,1.83
1638905504,BOOSTER_COOKIE,3796479.8,3858429.2,7561,13865,61583,73106,1.33,61949.4,1.6,1.83
