UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,GOLDEN_TOOTH,86791.6,94210.6,3688,101936,85597,32193,22.16,7419.0,8.5,27.64
1638903006,GOLDEN_TOOTH,86791.6,94210.6,3688,101936,85597,32193,22.16,7419.0,8.5,27.64
1638903006,GOLDEN_TOOTH,86791.6,94210.6,3688,101936,85597,32193,22.16,7419.0,8.5,27.64
1638903057,GOLDEN_TOOTH,86791.6,94210.5,3727,101936,85597,32193,22.16,7418.9,8.5,27.35
1638903086,GOLDEN_TOOTH,86791.6,94210.5,3727,101936,85597,32193,22.16,7418.9,8.5,27.35
1638903086,GOLDEN_TOOTH,86791.6,94210.5,3727,101936,85597,32193,22.16,7418.9,8.5,27.35
1638903086,GOLDEN_TOOTH,86791.6,94210.5,3727,101936,85597,32193,22.16,7418.9,8.5,27.35
1638903086,GOLDEN_TOOTH,86791.6,94210.5,3727,101936,85597,32193,22.16,7418.9,8.5,27.35
1638903226,GOLDEN_TOOTH,86791.6,94210.5,3688,101936,85629,32193,22.16,7418.9,8.5,27.64
1638903233,GOLDEN_TOOTH,86791.6,94210.5,3688,101936,85629,32193,22.16,7418.9,8.5,27.64
1638903240,GOLDEN_TOOTH,86791.6,94210.5,3688,101936,85629,32193,22.16,7418.9,8.5,27.64
1638903248,GOLDEN_TOOTH,86791.6,94210.5,3688,101936,85629,32193,22.16,7418.9,8.5,27.64
1638903855,GOLDEN_TOOTH,86791.0,94210.2,4056,101876,85629,32253,22.11,7419.2,8.5,25.12
1638904100,GOLDEN_TOOTH,86791.0,94210.2,4095,101876,85629,32253,22.11,7419.2,8.5,24.88
1638904100,GOLDEN_TOOTH,86791.0,94210.2,4095,101876,85629,32253,22.11,7419.2,8.5,24.88
1638904100,GOLDEN_TOOTH,86791.0,94210.2,4095,101876,85629,32253,22.11,7419.2,8.5,24.88
1638904189,GOLDEN_TOOTH,86791.0,94210.2,3961,101876,85661,32253,22.11,7419.2,8.5,25.72
1638904196,GOLDEN_TOOTH,86791.0,94210.2,3961,101876,85661,32253,22.11,7419.2,8.5,25.72
1638905497,GOLDEN_TOOTH,86791.0,94209.9,4180,101854,77120,25372,28.1,7418.9,8.5,24.37
1638905504,GOLDEN_TOOTH,86791.0,94209.9,4180,101854,77120,25372,28.1,7418.9,8.5,24.37
