UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ROUGH_TOPAZ_GEM,3.0,4.0,624538,1831793,935022,118304592,0.11,1.0,33.300000000000004,2.93
1638903006,ROUGH_TOPAZ_GEM,3.0,4.0,624538,1820736,935022,118315649,0.11,1.0,33.300000000000004,2.92
1638903006,ROUGH_TOPAZ_GEM,3.0,4.0,624538,1820736,935022,118315649,0.11,1.0,33.300000000000004,2.92
1638903057,ROUGH_TOPAZ_GEM,3.0,4.0,624538,1810895,935022,118325490,0.11,1.0,33.300000000000004,2.9
1638903086,ROUGH_TOPAZ_GEM,3.0,4.0,624538,1810407,935022,118325978,0.11,1.0,33.300000000000004,2.9
1638903086,ROUGH_TOPAZ_GEM,3.0,4.0,624538,1810407,935022,118325978,0.11,1.0,33.300000000000004,2.9
1638903086,ROUGH_TOPAZ_GEM,3.0,4.0,624538,1810407,935022,118325978,0.11,1.0,33.300000000000004,2.9
1638903086,ROUGH_TOPAZ_GEM,3.0,4.0,624538,1810407,935022,118325978,0.11,1.0,33.300000000000004,2.9
1638903226,ROUGH_TOPAZ_GEM,3.0,4.0,624538,2107812,935022,118386973,0.12,1.0,33.300000000000004,3.37
1638903233,ROUGH_TOPAZ_GEM,3.0,4.0,624538,2107812,935022,118386973,0.12,1.0,33.300000000000004,3.37
1638903240,ROUGH_TOPAZ_GEM,3.0,4.0,624538,2105420,935022,118389365,0.12,1.0,33.300000000000004,3.37
1638903248,ROUGH_TOPAZ_GEM,3.0,4.0,624538,2105420,935022,118389365,0.12,1.0,33.300000000000004,3.37
1638903855,ROUGH_TOPAZ_GEM,3.0,3.9,624577,2040591,935023,118525874,0.12,0.9,30.0,3.27
1638904100,ROUGH_TOPAZ_GEM,3.0,3.9,624577,1992631,935023,118573834,0.12,0.9,30.0,3.19
1638904100,ROUGH_TOPAZ_GEM,3.0,3.9,624577,1992631,935023,118573834,0.12,0.9,30.0,3.19
1638904100,ROUGH_TOPAZ_GEM,3.0,3.9,624577,1992631,935023,118573834,0.12,0.9,30.0,3.19
1638904189,ROUGH_TOPAZ_GEM,3.0,3.9,624577,1958011,935023,118608454,0.12,0.9,30.0,3.13
1638904196,ROUGH_TOPAZ_GEM,3.0,3.9,624577,1958011,935023,118608454,0.12,0.9,30.0,3.13
1638905497,ROUGH_TOPAZ_GEM,3.0,3.9,624576,1973467,926254,107928603,0.13,0.9,30.0,3.16
1638905504,ROUGH_TOPAZ_GEM,3.0,3.9,624576,1973467,926254,107928603,0.13,0.9,30.0,3.16
