UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,GHAST_TEAR,31.7,48.7,408413,847644,1561694,2949818,2.01,17.0,53.6,2.08
1638903006,GHAST_TEAR,31.7,48.7,407645,847513,1562462,2949949,2.01,17.0,53.6,2.08
1638903006,GHAST_TEAR,31.7,48.7,407645,847513,1562462,2949949,2.01,17.0,53.6,2.08
1638903057,GHAST_TEAR,31.7,48.7,407645,847281,1562462,2950181,2.01,17.0,53.6,2.08
1638903086,GHAST_TEAR,31.7,48.7,407645,847271,1562462,2950191,2.01,17.0,53.6,2.08
1638903086,GHAST_TEAR,31.7,48.7,407645,847271,1562462,2950191,2.01,17.0,53.6,2.08
1638903086,GHAST_TEAR,31.7,48.7,407645,847271,1562462,2950191,2.01,17.0,53.6,2.08
1638903086,GHAST_TEAR,31.7,48.7,407645,847271,1562462,2950191,2.01,17.0,53.6,2.08
1638903226,GHAST_TEAR,31.7,48.9,405597,846107,1564510,2951355,2.01,17.2,54.3,2.09
1638903233,GHAST_TEAR,31.7,48.9,405597,846107,1564510,2951355,2.01,17.2,54.3,2.09
1638903240,GHAST_TEAR,31.7,48.9,405597,845844,1564510,2951618,2.01,17.2,54.3,2.09
1638903248,GHAST_TEAR,31.7,48.9,405597,845844,1564510,2951618,2.01,17.2,54.3,2.09
1638903855,GHAST_TEAR,31.6,48.9,402782,845222,1567325,2952240,2.0,17.3,54.7,2.1
1638904100,GHAST_TEAR,31.8,48.7,404222,844781,1567325,2952981,2.0,16.9,53.1,2.09
1638904100,GHAST_TEAR,31.8,48.7,404222,844781,1567325,2952981,2.0,16.9,53.1,2.09
1638904100,GHAST_TEAR,31.8,48.7,404222,844781,1567325,2952981,2.0,16.9,53.1,2.09
1638904189,GHAST_TEAR,31.8,48.7,404222,844936,1567325,2952986,2.0,16.9,53.1,2.09
1638904196,GHAST_TEAR,31.8,48.7,404222,844936,1567325,2952986,2.0,16.9,53.1,2.09
1638905497,GHAST_TEAR,31.6,47.8,409786,800464,1568162,2957338,1.89,16.2,51.3,1.95
1638905504,GHAST_TEAR,31.6,47.8,409786,800464,1568162,2957338,1.89,16.2,51.3,1.95
1638906506,GHAST_TEAR,31.6,47.7,409151,795563,1569681,2962809,1.88,16.1,50.9,1.94
1638906538,GHAST_TEAR,31.6,47.7,409151,795562,1569681,2962810,1.88,16.1,50.9,1.94
1638906598,GHAST_TEAR,31.6,47.7,409151,795561,1569681,2962811,1.88,16.1,50.9,1.94
