UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,CACTUS,0.9,1.6,3695953,2785912,16882728,43743853,0.45,0.7,77.8,-1.33
1638903006,CACTUS,0.9,1.8,3695724,2780394,16882985,43749371,0.44,0.9,100.0,-1.33
1638903006,CACTUS,0.9,1.8,3695724,2780394,16882985,43749371,0.44,0.9,100.0,-1.33
1638903057,CACTUS,0.9,1.7,3695724,2778726,16882985,43751039,0.44,0.8,88.9,-1.33
1638903086,CACTUS,0.9,1.7,3696748,2776932,16882985,43752833,0.44,0.8,88.9,-1.33
1638903086,CACTUS,0.9,1.7,3696748,2776932,16882985,43752833,0.44,0.8,88.9,-1.33
1638903086,CACTUS,0.9,1.7,3696748,2776932,16882985,43752833,0.44,0.8,88.9,-1.33
1638903086,CACTUS,0.9,1.7,3696748,2776932,16882985,43752833,0.44,0.8,88.9,-1.33
1638903226,CACTUS,0.9,1.9,3695659,2769843,16885098,43759922,0.44,1.0,111.1,-1.33
1638903233,CACTUS,0.9,1.9,3695659,2769843,16885098,43759922,0.44,1.0,111.1,-1.33
1638903240,CACTUS,0.9,1.9,3694571,2769523,16886186,43760242,0.44,1.0,111.1,-1.33
1638903248,CACTUS,0.9,1.9,3694571,2769523,16886186,43760242,0.44,1.0,111.1,-1.33
1638903855,CACTUS,0.9,2.1,3681076,2767629,16900705,43762136,0.44,1.2,133.29999999999998,-1.33
1638904100,CACTUS,1.0,2.0,3681174,2777531,16900897,43762234,0.44,1.0,100.0,-1.33
1638904100,CACTUS,1.0,2.0,3681174,2777531,16900897,43762234,0.44,1.0,100.0,-1.33
1638904100,CACTUS,1.0,2.0,3681174,2777531,16900897,43762234,0.44,1.0,100.0,-1.33
1638904189,CACTUS,1.0,2.1,3680150,2772572,16901921,43767193,0.44,1.1,110.0,-1.33
1638904196,CACTUS,1.0,2.1,3680150,2772572,16901921,43767193,0.44,1.1,110.0,-1.33
1638905497,CACTUS,1.0,1.5,3827017,2851718,16911135,43966911,0.45,0.5,50.0,-1.34
1638905504,CACTUS,1.0,1.5,3827017,2851718,16911135,43966911,0.45,0.5,50.0,-1.34
