UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,PACKED_ICE,45.0,45.6,877660,7516439,13908233,32245306,1.63,0.6,1.3,8.56
1638903006,PACKED_ICE,45.0,45.9,874396,7511746,13910857,32249999,1.63,0.9,2.0,8.59
1638903006,PACKED_ICE,45.0,45.9,874396,7511746,13910857,32249999,1.63,0.9,2.0,8.59
1638903057,PACKED_ICE,45.0,45.9,872892,7509715,13912361,32252030,1.63,0.9,2.0,8.6
1638903086,PACKED_ICE,45.0,45.8,872996,6958384,13912361,32255846,1.51,0.8,1.7999999999999998,7.97
1638903086,PACKED_ICE,45.0,45.8,872996,6958384,13912361,32255846,1.51,0.8,1.7999999999999998,7.97
1638903086,PACKED_ICE,45.0,45.8,872996,6958384,13912361,32255846,1.51,0.8,1.7999999999999998,7.97
1638903086,PACKED_ICE,45.0,45.8,872996,6958384,13912361,32255846,1.51,0.8,1.7999999999999998,7.97
1638903226,PACKED_ICE,45.0,46.0,871076,6954790,13915561,32259483,1.51,1.0,2.2,7.98
1638903233,PACKED_ICE,45.0,46.0,871076,6954790,13915561,32259483,1.51,1.0,2.2,7.98
1638903240,PACKED_ICE,45.0,46.0,871076,6953806,13915561,32260467,1.51,1.0,2.2,7.98
1638903248,PACKED_ICE,45.0,46.0,871076,6953806,13915561,32260467,1.51,1.0,2.2,7.98
1638903855,PACKED_ICE,43.6,46.7,858839,6928236,13932406,32288342,1.5,3.1,7.1,8.07
1638904100,PACKED_ICE,43.6,47.0,858647,6917218,13935030,32300640,1.5,3.4,7.8,8.06
1638904100,PACKED_ICE,43.6,47.0,858647,6917218,13935030,32300640,1.5,3.4,7.8,8.06
1638904100,PACKED_ICE,43.6,47.0,858647,6917218,13935030,32300640,1.5,3.4,7.8,8.06
1638904189,PACKED_ICE,43.6,47.0,853799,6912549,13940448,32305309,1.5,3.4,7.8,8.1
1638904196,PACKED_ICE,43.6,47.0,853799,6912549,13940448,32305309,1.5,3.4,7.8,8.1
1638905497,PACKED_ICE,40.8,46.9,837982,6537500,13982626,32351034,1.41,6.1,15.0,7.8
1638905504,PACKED_ICE,40.8,46.9,837982,6537500,13982626,32351034,1.41,6.1,15.0,7.8
