UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_SPONGE,1970.4,2264.7,65523,1096868,250787,1214942,6.32,294.3,14.9,16.74
1638903006,ENCHANTED_SPONGE,1970.4,2264.7,65523,1096807,250787,1215003,6.32,294.3,14.9,16.74
1638903006,ENCHANTED_SPONGE,1970.4,2264.7,65523,1096807,250787,1215003,6.32,294.3,14.9,16.74
1638903057,ENCHANTED_SPONGE,1970.4,2264.7,65523,1096792,250787,1215018,6.32,294.3,14.9,16.74
1638903086,ENCHANTED_SPONGE,1970.4,2264.7,65523,1096711,250787,1215099,6.32,294.3,14.9,16.74
1638903086,ENCHANTED_SPONGE,1970.4,2264.7,65523,1096711,250787,1215099,6.32,294.3,14.9,16.74
1638903086,ENCHANTED_SPONGE,1970.4,2264.7,65523,1096711,250787,1215099,6.32,294.3,14.9,16.74
1638903086,ENCHANTED_SPONGE,1970.4,2264.7,65523,1096711,250787,1215099,6.32,294.3,14.9,16.74
1638903226,ENCHANTED_SPONGE,1970.4,2264.5,65597,1096630,250787,1215180,6.32,294.1,14.9,16.72
1638903233,ENCHANTED_SPONGE,1970.4,2264.5,65597,1096630,250787,1215180,6.32,294.1,14.9,16.72
1638903240,ENCHANTED_SPONGE,1970.4,2264.5,65597,1096622,250787,1215188,6.32,294.1,14.9,16.72
1638903248,ENCHANTED_SPONGE,1970.4,2264.5,65597,1096622,250787,1215188,6.32,294.1,14.9,16.72
1638903855,ENCHANTED_SPONGE,1970.4,2299.0,63681,1095087,252711,1216729,6.3,328.6,16.7,17.2
1638904100,ENCHANTED_SPONGE,1970.4,2298.8,63702,1094497,252711,1217319,6.29,328.4,16.7,17.18
1638904100,ENCHANTED_SPONGE,1970.4,2298.8,63702,1094497,252711,1217319,6.29,328.4,16.7,17.18
1638904100,ENCHANTED_SPONGE,1970.4,2298.8,63702,1094497,252711,1217319,6.29,328.4,16.7,17.18
1638904189,ENCHANTED_SPONGE,1970.4,2298.6,63732,1094395,252711,1217421,6.29,328.2,16.7,17.17
1638904196,ENCHANTED_SPONGE,1970.4,2298.6,63732,1094395,252711,1217421,6.29,328.2,16.7,17.17
1638905497,ENCHANTED_SPONGE,1970.5,2298.5,63948,1095122,253662,1219341,6.29,328.0,16.6,17.13
1638905504,ENCHANTED_SPONGE,1970.5,2298.5,63948,1095122,253662,1219341,6.29,328.0,16.6,17.13
