UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_IRON,1395.8,1453.5,404554,717732,3271814,6520345,0.77,57.7,4.1000000000000005,1.77
1638903006,ENCHANTED_IRON,1395.8,1453.5,403658,716393,3273444,6521844,0.77,57.7,4.1000000000000005,1.77
1638903006,ENCHANTED_IRON,1395.8,1453.5,403658,716393,3273444,6521844,0.77,57.7,4.1000000000000005,1.77
1638903057,ENCHANTED_IRON,1395.8,1453.5,403648,716242,3273454,6521995,0.77,57.7,4.1000000000000005,1.77
1638903086,ENCHANTED_IRON,1395.8,1453.5,403572,716040,3273530,6522197,0.77,57.7,4.1000000000000005,1.77
1638903086,ENCHANTED_IRON,1395.8,1453.5,403572,716040,3273530,6522197,0.77,57.7,4.1000000000000005,1.77
1638903086,ENCHANTED_IRON,1395.8,1453.5,403572,716040,3273530,6522197,0.77,57.7,4.1000000000000005,1.77
1638903086,ENCHANTED_IRON,1395.8,1453.5,403572,716040,3273530,6522197,0.77,57.7,4.1000000000000005,1.77
1638903226,ENCHANTED_IRON,1395.9,1453.5,403478,714090,3274087,6524272,0.77,57.6,4.1000000000000005,1.77
1638903233,ENCHANTED_IRON,1395.9,1453.5,403478,714090,3274087,6524272,0.77,57.6,4.1000000000000005,1.77
1638903240,ENCHANTED_IRON,1396.0,1453.5,403478,714006,3274087,6524356,0.77,57.5,4.1000000000000005,1.77
1638903248,ENCHANTED_IRON,1396.0,1453.5,403478,714006,3274087,6524356,0.77,57.5,4.1000000000000005,1.77
1638903855,ENCHANTED_IRON,1395.7,1460.0,402908,706484,3275024,6533163,0.76,64.3,4.6,1.75
1638904100,ENCHANTED_IRON,1395.7,1459.3,409870,705407,3276492,6534581,0.76,63.6,4.6,1.72
1638904100,ENCHANTED_IRON,1395.7,1459.3,409870,705407,3276492,6534581,0.76,63.6,4.6,1.72
1638904100,ENCHANTED_IRON,1395.7,1459.3,409870,705407,3276492,6534581,0.76,63.6,4.6,1.72
1638904189,ENCHANTED_IRON,1395.6,1458.9,410075,703878,3276512,6536110,0.75,63.3,4.5,1.72
1638904196,ENCHANTED_IRON,1395.6,1458.9,410075,703878,3276512,6536110,0.75,63.3,4.5,1.72
1638905497,ENCHANTED_IRON,1395.7,1460.0,401165,692611,3261523,6483800,0.75,64.3,4.6,1.73
1638905504,ENCHANTED_IRON,1395.7,1460.0,401165,692611,3261523,6483800,0.75,64.3,4.6,1.73
1638906506,ENCHANTED_IRON,1395.8,1458.3,416622,688213,3268099,6492968,0.74,62.5,4.5,1.65
1638906538,ENCHANTED_IRON,1395.8,1458.3,416606,698206,3268115,6492975,0.75,62.5,4.5,1.68
1638906598,ENCHANTED_IRON,1395.8,1458.3,416550,697071,3268277,6494110,0.75,62.5,4.5,1.67
1638906612,ENCHANTED_IRON,1395.9,1458.2,416550,697061,3268277,6494120,0.75,62.3,4.5,1.67
1638906620,ENCHANTED_IRON,1395.9,1458.2,416550,697061,3268277,6494120,0.75,62.3,4.5,1.67
