UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,WORM_MEMBRANE,91223.1,94356.1,5802,26158,165667,370352,0.49,3133.0,3.4000000000000004,4.51
1638903006,WORM_MEMBRANE,91223.2,94356.1,5802,26423,165667,370421,0.5,3132.9,3.4000000000000004,4.55
1638903006,WORM_MEMBRANE,91223.2,94356.1,5802,26423,165667,370421,0.5,3132.9,3.4000000000000004,4.55
1638903057,WORM_MEMBRANE,91223.2,94356.1,5802,26423,165667,370421,0.5,3132.9,3.4000000000000004,4.55
1638903086,WORM_MEMBRANE,91223.3,94356.1,5802,26665,165667,370421,0.5,3132.8,3.4000000000000004,4.6
1638903086,WORM_MEMBRANE,91223.3,94356.1,5802,26665,165667,370421,0.5,3132.8,3.4000000000000004,4.6
1638903086,WORM_MEMBRANE,91223.3,94356.1,5802,26665,165667,370421,0.5,3132.8,3.4000000000000004,4.6
1638903086,WORM_MEMBRANE,91223.3,94356.1,5802,26665,165667,370421,0.5,3132.8,3.4000000000000004,4.6
1638903226,WORM_MEMBRANE,91223.3,94356.6,5557,26555,166167,370531,0.5,3133.3,3.4000000000000004,4.78
1638903233,WORM_MEMBRANE,91223.3,94356.6,5557,26555,166167,370531,0.5,3133.3,3.4000000000000004,4.78
1638903240,WORM_MEMBRANE,91223.3,94356.5,5557,26505,166167,370581,0.5,3133.2,3.4000000000000004,4.77
1638903248,WORM_MEMBRANE,91223.3,94356.5,5557,26505,166167,370581,0.5,3133.2,3.4000000000000004,4.77
1638903855,WORM_MEMBRANE,91223.5,94356.3,6337,25294,166367,370830,0.48,3132.8,3.4000000000000004,3.99
1638904100,WORM_MEMBRANE,91223.5,94042.6,6563,24465,166367,371205,0.46,2819.1,3.1,3.73
1638904100,WORM_MEMBRANE,91223.5,94042.6,6563,24465,166367,371205,0.46,2819.1,3.1,3.73
1638904100,WORM_MEMBRANE,91223.5,94042.6,6563,24465,166367,371205,0.46,2819.1,3.1,3.73
1638904189,WORM_MEMBRANE,91223.6,94356.1,6467,24663,166367,371205,0.47,3132.5,3.4000000000000004,3.81
1638904196,WORM_MEMBRANE,91223.6,94356.1,6467,24663,166367,371205,0.47,3132.5,3.4000000000000004,3.81
1638905497,WORM_MEMBRANE,91223.3,94041.9,7076,24548,166467,372106,0.46,2818.6,3.1,3.47
1638905504,WORM_MEMBRANE,91223.3,94041.9,7076,24548,166467,372106,0.46,2818.6,3.1,3.47
