UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ROUGH_JASPER_GEM,8.7,10.6,895419,2926762,1275547,17154779,1.19,1.9,21.8,3.27
1638903006,ROUGH_JASPER_GEM,8.7,10.6,895419,2926493,1275547,17155048,1.19,1.9,21.8,3.27
1638903006,ROUGH_JASPER_GEM,8.7,10.6,895419,2926493,1275547,17155048,1.19,1.9,21.8,3.27
1638903057,ROUGH_JASPER_GEM,8.7,10.6,895419,2926493,1275547,17155048,1.19,1.9,21.8,3.27
1638903086,ROUGH_JASPER_GEM,8.7,10.6,895419,2926493,1275547,17155048,1.19,1.9,21.8,3.27
1638903086,ROUGH_JASPER_GEM,8.7,10.6,895419,2926493,1275547,17155048,1.19,1.9,21.8,3.27
1638903086,ROUGH_JASPER_GEM,8.7,10.6,895419,2926493,1275547,17155048,1.19,1.9,21.8,3.27
1638903086,ROUGH_JASPER_GEM,8.7,10.6,895419,2926493,1275547,17155048,1.19,1.9,21.8,3.27
1638903226,ROUGH_JASPER_GEM,8.7,10.6,895419,2924879,1275547,17156662,1.19,1.9,21.8,3.27
1638903233,ROUGH_JASPER_GEM,8.7,10.6,895419,2924879,1275547,17156662,1.19,1.9,21.8,3.27
1638903240,ROUGH_JASPER_GEM,8.7,10.6,895419,2924823,1275547,17156718,1.19,1.9,21.8,3.27
1638903248,ROUGH_JASPER_GEM,8.7,10.6,895419,2924823,1275547,17156718,1.19,1.9,21.8,3.27
1638903855,ROUGH_JASPER_GEM,8.7,10.5,895497,2903154,1275547,17178387,1.18,1.8,20.7,3.24
1638904100,ROUGH_JASPER_GEM,8.7,10.5,895497,2901016,1275547,17180525,1.18,1.8,20.7,3.24
1638904100,ROUGH_JASPER_GEM,8.7,10.5,895497,2901016,1275547,17180525,1.18,1.8,20.7,3.24
1638904100,ROUGH_JASPER_GEM,8.7,10.5,895497,2901016,1275547,17180525,1.18,1.8,20.7,3.24
1638904189,ROUGH_JASPER_GEM,8.7,10.5,895496,2900966,1275548,17180575,1.18,1.8,20.7,3.24
1638904196,ROUGH_JASPER_GEM,8.7,10.5,895496,2900966,1275548,17180575,1.18,1.8,20.7,3.24
1638905497,ROUGH_JASPER_GEM,8.9,10.3,895574,3094687,1275550,17208957,1.26,1.4,15.7,3.46
1638905504,ROUGH_JASPER_GEM,8.9,10.3,895574,3094687,1275550,17208957,1.26,1.4,15.7,3.46
