UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ENCHANTED_ROTTEN_FLESH,1184.4,1238.8,813409,666619,4299203,6388652,0.73,54.4,4.6,-1.22
1638903006,ENCHANTED_ROTTEN_FLESH,1184.4,1238.9,813550,666569,4300575,6388702,0.73,54.5,4.6,-1.22
1638903006,ENCHANTED_ROTTEN_FLESH,1184.4,1238.9,813550,666569,4300575,6388702,0.73,54.5,4.6,-1.22
1638903057,ENCHANTED_ROTTEN_FLESH,1184.3,1238.8,813684,666068,4300607,6389203,0.73,54.5,4.6,-1.22
1638903086,ENCHANTED_ROTTEN_FLESH,1184.2,1239.2,811523,666057,4300991,6389214,0.73,55.0,4.6,-1.22
1638903086,ENCHANTED_ROTTEN_FLESH,1184.2,1239.2,811523,666057,4300991,6389214,0.73,55.0,4.6,-1.22
1638903086,ENCHANTED_ROTTEN_FLESH,1184.2,1239.2,811523,666057,4300991,6389214,0.73,55.0,4.6,-1.22
1638903086,ENCHANTED_ROTTEN_FLESH,1184.2,1239.2,811523,666057,4300991,6389214,0.73,55.0,4.6,-1.22
1638903226,ENCHANTED_ROTTEN_FLESH,1184.4,1239.0,812878,667375,4301731,6390431,0.73,54.6,4.6,-1.22
1638903233,ENCHANTED_ROTTEN_FLESH,1184.4,1239.0,812878,667375,4301731,6390431,0.73,54.6,4.6,-1.22
1638903240,ENCHANTED_ROTTEN_FLESH,1184.3,1239.0,812854,666428,4301755,6391378,0.73,54.7,4.6,-1.22
1638903248,ENCHANTED_ROTTEN_FLESH,1184.3,1239.0,812854,666428,4301755,6391378,0.73,54.7,4.6,-1.22
1638903855,ENCHANTED_ROTTEN_FLESH,1184.5,1231.8,885775,662223,4304561,6396287,0.72,47.3,4.0,-1.34
1638904100,ENCHANTED_ROTTEN_FLESH,1184.5,1231.5,885716,663494,4305934,6397948,0.73,47.0,4.0,-1.33
1638904100,ENCHANTED_ROTTEN_FLESH,1184.5,1231.5,885716,663494,4305934,6397948,0.73,47.0,4.0,-1.33
1638904100,ENCHANTED_ROTTEN_FLESH,1184.5,1231.5,885716,663494,4305934,6397948,0.73,47.0,4.0,-1.33
1638904189,ENCHANTED_ROTTEN_FLESH,1184.6,1231.5,885350,667943,4306443,6398171,0.73,46.9,4.0,-1.33
1638904196,ENCHANTED_ROTTEN_FLESH,1184.6,1231.5,885350,667943,4306443,6398171,0.73,46.9,4.0,-1.33
1638905497,ENCHANTED_ROTTEN_FLESH,1184.2,1229.8,894593,642619,4312136,6422028,0.7,45.6,3.9,-1.39
1638905504,ENCHANTED_ROTTEN_FLESH,1184.2,1229.8,894593,642619,4312136,6422028,0.7,45.6,3.9,-1.39
